Date;Time;SerialNo;Hardware;ProductionDate;Software;MemorySize;TargetDevice;BatteryDate;Capacity;BattUsage;Voltage;CodeNo;Mode;OpTime;Rtc;Autosend;Readout;ExtProt;Sprint_4ms;Card6with192punches;StopIfBackupFull;AirPlusTimingMode;AirPlusRadioMode;EcoMode;AllowGateMode;Action;

Date;Time;SerialNo;Hardware;ProductionDate;Software;MemorySize;TargetDevice;BatteryDate;Capacity;BattUsage;Voltage;CodeNo;Mode;OpTime;Rtc;Autosend;Readout;ExtProt;Sprint_4ms;Card6with192punches;StopIfBackupFull;AirPlusTimingMode;AirPlusRadioMode;EcoMode;AllowGateMode;Action;
2017-08-09;08:43:31;133364;BSM7 UART1 (USB);2011.03.09.;573;128 K;Direct;2011.03.09.;2000;144,8 %;N/A;4;Readout; 00:02:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -; -;N/A;N/A;N/A;N/A;ConfigRead;

Date;Time;SerialNo;Hardware;ProductionDate;Software;MemorySize;TargetDevice;BatteryDate;Capacity;BattUsage;Voltage;CodeNo;Mode;OpTime;Rtc;Autosend;Readout;ExtProt;Sprint_4ms;Card6with192punches;StopIfBackupFull;AirPlusTimingMode;AirPlusRadioMode;EcoMode;AllowGateMode;Action;
2017-08-09;15:16:07;133384;BSF7;2011.03.16.;656;128 K;Remote;2011.03.16.;2000;26,1 %;3,14;76;Control; 03:00:00;RealTimeClock!; -;N/A; -;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigRead;
2017-08-09;15:16:19;133386;BSF7;2011.03.16.;656;128 K;Remote;2011.03.16.;2000;25,6 %;3,08;77;Control; 03:00:00;RealTimeClock!; -;N/A; -;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigRead;
2017-08-09;15:21:21;170608;BSF7;2014.11.18.;656;128 K;Remote;2014.11.18.;2000;12,1 %;3,27;42;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-09;15:21:33;79164;BSF7;2006.11.24.;580;128 K;Remote;2006.11.24.;2000;64,3 %;3,12;45;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-09;15:21:47;79167;BSF7;2006.11.24.;580;128 K;Remote;2011.11.11.;2000;5,4 %;3,38;51;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-09;15:22:00;79104;BSF7;2006.11.24.;580;128 K;Remote;2014.03.06.;2000;15,9 %;2,98;52;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-09;15:22:11;79112;BSF7;2006.11.24.;580;128 K;Remote;2012.05.09.;2000;5,4 %;3,44;53;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-09;15:22:27;79189;BSF7;2006.11.24.;580;128 K;Remote;2012.05.03.;2000;5,4 %;3,30;73;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-09;15:22:39;133386;BSF7;2011.03.16.;656;128 K;Remote;2011.03.16.;2000;25,7 %;3,21;82;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-09;15:22:49;133384;BSF7;2011.03.16.;656;128 K;Remote;2011.03.16.;2000;26,2 %;3,24;85;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-09;15:23:42;78891;BSM7 UART1 (USB);2006.10.27.;623;128 K;Direct;2010.12.28.;2000;27,9 %;N/A;5;Readout; 02:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -; -;N/A;N/A;N/A;N/A;ConfigRead;
